t_s,x_m,y_m,z_m
2.350000000000000000e+01,2.159698323858959554e+02,-4.863073698722176630e+01,8.000000000000000000e+01
2.400000000000000000e+01,2.142464787932029537e+02,-5.752765762833077190e+01,8.000000000000000000e+01
2.450000000000000000e+01,2.122218763947837772e+02,-6.610113685109602955e+01,8.000000000000000000e+01
2.500000000000000000e+01,2.098988719541326304e+02,-7.430297143650469138e+01,8.000000000000000000e+01
2.550000000000000000e+01,2.072807318134428556e+02,-8.208704768689035802e+01,8.000000000000000000e+01
2.600000000000000000e+01,2.043711373008512453e+02,-8.940960069391658749e+01,8.000000000000000000e+01
2.650000000000000000e+01,2.011741795541772717e+02,-9.622946040081176022e+01,8.000000000000000000e+01
2.700000000000000000e+01,1.976943537684344108e+02,-1.025082830754053589e+02,8.000000000000000000e+01
2.750000000000000000e+01,1.939365528752032048e+02,-1.082107668925383450e+02,8.000000000000000000e+01
2.800000000000000000e+01,1.899060606627522247e+02,-1.133048504137664594e+02,8.000000000000000000e+01
2.850000000000000000e+01,1.856085443465817946e+02,-1.177618928484300653e+02,8.000000000000000000e+01
2.900000000000000000e+01,1.810500466008357421e+02,-1.215568350825983828e+02,8.000000000000000000e+01
2.950000000000000000e+01,1.762369770617870302e+02,-1.246683405705234975e+02,8.000000000000000000e+01
3.000000000000000000e+01,1.711761033153426581e+02,-1.270789152964626112e+02,8.000000000000000000e+01
3.050000000000000000e+01,1.658745413812414427e+02,-1.287750061323982607e+02,8.000000000000000000e+01
3.100000000000000000e+01,1.603397457073236581e+02,-1.297470770386543109e+02,8.000000000000000000e+01
3.150000000000000000e+01,1.545794986879422481e+02,-1.299896626789802099e+02,8.000000000000000000e+01
3.200000000000000000e+01,1.486018997212532042e+02,-1.295013991486592886e+02,8.000000000000000000e+01
3.250000000000000000e+01,1.424153538207717702e+02,-1.282850316428773567e+02,8.000000000000000000e+01
3.300000000000000000e+01,1.360285597972068388e+02,-1.263473990222367007e+02,8.000000000000000000e+01
3.350000000000000000e+01,1.294504980271923387e+02,-1.236993953621940676e+02,8.000000000000000000e+01
3.400000000000000000e+01,1.226904178261117409e+02,-1.203559087026052197e+02,8.000000000000000000e+01
3.450000000000000000e+01,1.157578244427732699e+02,-1.163357373417492084e+02,8.000000000000000000e+01
3.500000000000000000e+01,1.086624656942196196e+02,-1.116614841454569671e+02,8.000000000000000000e+01
3.550000000000000000e+01,1.014143182594666257e+02,-1.063594294655772217e+02,8.000000000000000000e+01
3.600000000000000000e+01,9.402357365144263213e+01,-1.004593833822784035e+02,8.000000000000000000e+01
3.650000000000000000e+01,8.650062388685239512e+01,-9.399451810093337656e+01,8.000000000000000000e+01
3.700000000000000000e+01,7.885604687411664315e+01,-8.700118144591405667e+01,8.000000000000000000e+01
3.750000000000000000e+01,7.110059153993111636e+01,-7.951869249990014055e+01,8.000000000000000000e+01
3.800000000000000000e+01,6.324516271535976841e+01,-7.158912053769287809e+01,8.000000000000000000e+01
3.850000000000000000e+01,5.530080580271314261e+01,-6.325704849744861491e+01,8.000000000000000000e+01
3.900000000000000000e+01,4.727869124477116713e+01,-5.456932231918175802e+01,8.000000000000000000e+01
3.950000000000000000e+01,3.919009881818924157e+01,-4.557478755984929819e+01,8.000000000000000000e+01
4.000000000000000000e+01,3.104640177317078553e+01,-3.632401476586036182e+01,8.000000000000000000e+01
4.050000000000000000e+01,2.285905084170834911e+01,-2.686901514706802985e+01,8.000000000000000000e+01
4.100000000000000000e+01,1.463955813687877416e+01,-1.726294815082728817e+01,8.000000000000000000e+01
4.150000000000000000e+01,6.399480965830872670e+00,-7.559822580243419132e+00,8.000000000000000000e+01
4.200000000000000000e+01,-1.849594420772695980e+00,2.185807062965462677e+00,8.000000000000000000e+01
4.250000000000000000e+01,-1.009606912001153312e+01,1.191914730372310771e+01,8.000000000000000000e+01
4.300000000000000000e+01,-1.832834788575329199e+01,2.158547376244443683e+01,8.000000000000000000e+01
4.350000000000000000e+01,-2.653485543255768775e+01,3.113043883540484558e+01,8.000000000000000000e+01
4.400000000000000000e+01,-3.470405271151460624e+01,4.050037725673912092e+01,8.000000000000000000e+01
4.450000000000000000e+01,-4.282445313512953788e+01,4.964260782408756967e+01,8.000000000000000000e+01
4.500000000000000000e+01,-5.088463872844479852e+01,5.850572959148028929e+01,8.000000000000000000e+01
4.550000000000000000e+01,-5.887327618368519211e+01,6.703991086415369693e+01,8.000000000000000000e+01
4.600000000000000000e+01,-6.677913279585435191e+01,7.519716937046592875e+01,8.000000000000000000e+01
4.650000000000000000e+01,-7.459109225687558364e+01,8.293164203568322534e+01,8.000000000000000000e+01
4.700000000000000000e+01,-8.229817028606760232e+01,9.019984284086928028e+01,8.000000000000000000e+01
4.750000000000000000e+01,-8.988953007497968883e+01,9.696090731710336286e+01,8.000000000000000000e+01
4.800000000000000000e+01,-9.735449752486745467e+01,1.031768223003898441e+02,8.000000000000000000e+01
4.850000000000000000e+01,-1.046825762553857544e+02,1.088126396554946922e+02,8.000000000000000000e+01
4.900000000000000000e+01,-1.118634623633932819e+02,1.138366727670747025e+02,8.000000000000000000e+01
4.950000000000000000e+01,-1.188870589111187286e+02,1.182206746933559458e+02,8.000000000000000000e+01
5.000000000000000000e+01,-1.257434901233156239e+02,1.219399969807160602e+02,8.000000000000000000e+01
5.050000000000000000e+01,-1.324231152734438695e+02,1.249737282462567833e+02,8.000000000000000000e+01
5.100000000000000000e+01,-1.389165422393529070e+02,1.273048117492059816e+02,8.000000000000000000e+01
5.150000000000000000e+01,-1.452146407094055576e+02,1.289201412901187496e+02,8.000000000000000000e+01
5.200000000000000000e+01,-1.513085550204742162e+02,1.298106348986986518e+02,8.000000000000000000e+01
5.250000000000000000e+01,-1.571897166097580794e+02,1.299712858959383937e+02,8.000000000000000000e+01
5.300000000000000000e+01,-1.628498560629122096e+02,1.294011910434905985e+02,8.000000000000000000e+01
5.350000000000000000e+01,-1.682810147415493702e+02,1.281035556220022897e+02,8.000000000000000000e+01
5.400000000000000000e+01,-1.734755559737629085e+02,1.260856754098612242e+02,8.000000000000000000e+01
5.450000000000000000e+01,-1.784261757919389879e+02,1.233588956636755825e+02,8.000000000000000000e+01
5.500000000000000000e+01,-1.831259132027572036e+02,1.199385473311142363e+02,8.000000000000000000e+01
5.550000000000000000e+01,-1.875681599749399311e+02,1.158438608547422177e+02,8.000000000000000000e+01
5.600000000000000000e+01,-1.917466699309894125e+02,1.110978580514764644e+02,8.000000000000000000e+01
5.650000000000000000e+01,-1.956555677298446483e+02,1.057272226755571012e+02,8.000000000000000000e+01
5.700000000000000000e+01,-1.992893571281124139e+02,9.976215039277349206e+01,8.000000000000000000e+01
5.750000000000000000e+01,-2.026429287082534927e+02,9.323617900944692849e+01,8.000000000000000000e+01
5.800000000000000000e+01,-2.057115670628587907e+02,8.618599991068383304e+01,8.000000000000000000e+01
5.850000000000000000e+01,-2.084909574249145976e+02,7.865125176806016327e+01,8.000000000000000000e+01
5.900000000000000000e+01,-2.109771917347320880e+02,7.067429767659147899e+01,8.000000000000000000e+01
5.950000000000000000e+01,-2.131667741350127585e+02,6.229998697400104390e+01,8.000000000000000000e+01
6.000000000000000000e+01,-2.150566258863213420e+02,5.357540308142835528e+01,8.000000000000000000e+01
6.050000000000000000e+01,-2.166440896960559144e+02,4.454959878330847545e+01,8.000000000000000000e+01
6.100000000000000000e+01,-2.179269334548278039e+02,3.527332043477225909e+01,8.000000000000000000e+01
6.150000000000000000e+01,-2.189033533749973799e+02,2.579872264717918640e+01,8.000000000000000000e+01
6.200000000000000000e+01,-2.195719765269534491e+02,1.617907505591825057e+01,8.000000000000000000e+01
6.250000000000000000e+01,-2.199318627695691362e+02,6.468462819140220255e+00,8.000000000000000000e+01
6.300000000000000000e+01,-2.199825060721203727e+02,-3.278517468675633761e+00,8.000000000000000000e+01
6.350000000000000000e+01,-2.197238352258083012e+02,-1.300706473863821344e+01,8.000000000000000000e+01
6.400000000000000000e+01,-2.191562139438849499e+02,-2.266248155898735561e+01,8.000000000000000000e+01
6.450000000000000000e+01,-2.182804403502412640e+02,-3.219048166395437960e+01,8.000000000000000000e+01
6.500000000000000000e+01,-2.170977458571770455e+02,-4.153749517089557486e+01,8.000000000000000000e+01
6.550000000000000000e+01,-2.156097934339302924e+02,-5.065096976965916298e+01,8.000000000000000000e+01
6.600000000000000000e+01,-2.138186752684005683e+02,-5.947966619079177519e+01,8.000000000000000000e+01
6.650000000000000000e+01,-2.117269098253549657e+02,-6.797394629134917921e+01,8.000000000000000000e+01
6.700000000000000000e+01,-2.093374383052515100e+02,-7.608605213859453897e+01,8.000000000000000000e+01
6.750000000000000000e+01,-2.066536205086609641e+02,-8.377037452246878502e+01,8.000000000000000000e+01
6.800000000000000000e+01,-2.036792301121011519e+02,-9.098370938716050205e+01,8.000000000000000000e+01
6.850000000000000000e+01,-2.004184493619255534e+02,-9.768550074002565964e+01,8.000000000000000000e+01
6.900000000000000000e+01,-1.968758631937294297e+02,-1.038380686721300492e+02,8.000000000000000000e+01
6.950000000000000000e+01,-1.930564527855388519e+02,-1.094068212084055460e+02,8.000000000000000000e+01
7.000000000000000000e+01,-1.889655885538502389e+02,-1.143604487963171010e+02,8.000000000000000000e+01
7.050000000000000000e+01,-1.846090226023676450e+02,-1.186711003395564887e+02,8.000000000000000000e+01
7.100000000000000000e+01,-1.799928806340537619e+02,-1.223145397870380151e+02,8.000000000000000000e+01
7.150000000000000000e+01,-1.751236533378707065e+02,-1.252702823967934620e+02,8.000000000000000000e+01
7.200000000000000000e+01,-1.700081872623173069e+02,-1.275217099086438566e+02,8.000000000000000000e+01
7.250000000000000000e+01,-1.646536751885988110e+02,-1.290561639781032568e+02,8.000000000000000000e+01
7.300000000000000000e+01,-1.590676460169641757e+02,-1.298650173461961970e+02,8.000000000000000000e+01
7.350000000000000000e+01,-1.532579541804295786e+02,-1.299437223450461261e+02,8.000000000000000000e+01
7.400000000000000000e+01,-1.472327686007776322e+02,-1.292918364665185891e+02,8.000000000000000000e+01
7.450000000000000000e+01,-1.410005612023561525e+02,-1.279130248501628415e+02,8.000000000000000000e+01
7.500000000000000000e+01,-1.345700949998310136e+02,-1.258150396764639822e+02,8.000000000000000000e+01
7.550000000000000000e+01,-1.279504117766413032e+02,-1.230096765812644151e+02,8.000000000000000000e+01
7.600000000000000000e+01,-1.211508193714802673e+02,-1.195127083364078402e+02,8.000000000000000000e+01
7.650000000000000000e+01,-1.141808785906822408e+02,-1.153437961694786509e+02,8.000000000000000000e+01
7.700000000000000000e+01,-1.070503897649130352e+02,-1.105263792212277281e+02,8.000000000000000000e+01
7.750000000000000000e+01,-9.976937896907045911e+01,-1.050875427621966764e+02,8.000000000000000000e+01
7.800000000000000000e+01,-9.234808392476912786e+01,-9.905786590947433012e+01,8.000000000000000000e+01
7.850000000000000000e+01,-8.479693960523034946e+01,-9.247124969977562614e+01,8.000000000000000000e+01
7.900000000000000000e+01,-7.712656356282188597e+01,-8.536472648548199516e+01,8.000000000000000000e+01
7.950000000000000000e+01,-6.934774099987349416e+01,-7.777825172528365272e+01,8.000000000000000000e+01
8.000000000000000000e+01,-6.147140960376368923e+01,-6.975447934005654815e+01,8.000000000000000000e+01
8.050000000000000000e+01,-5.350864416760009590e+01,-6.133852189700330371e+01,8.000000000000000000e+01
8.100000000000000000e+01,-4.547064101811512415e+01,-5.257769697038821022e+01,8.000000000000000000e+01
8.150000000000000000e+01,-3.736870227267812083e+01,-4.352126110492333311e+01,8.000000000000000000e+01
8.200000000000000000e+01,-2.921421994755387175e+01,-3.422013287755434874e+01,8.000000000000000000e+01
8.250000000000000000e+01,-2.101865993975761171e+01,-2.472660661469867449e+01,8.000000000000000000e+01
8.300000000000000000e+01,-1.279354590502732414e+01,-1.509405837451959798e+01,8.000000000000000000e+01
8.350000000000000000e+01,-4.550443054580469493e+00,-5.376645847308829218e+00,8.000000000000000000e+01
8.400000000000000000e+01,3.699058106556937009e+00,4.370996138747770487e+00,8.000000000000000000e+01
8.450000000000000000e+01,1.194335807678941563e+01,1.409406279445065202e+01,8.000000000000000000e+01
8.500000000000000000e+01,2.017086466783910481e+01,2.373788750204742115e+01,8.000000000000000000e+01
8.550000000000000000e+01,2.837000930434971480e+01,3.324824917084354325e+01,8.000000000000000000e+01
8.600000000000000000e+01,3.652926329029058650e+01,4.257167708790009186e+01,8.000000000000000000e+01
8.650000000000000000e+01,4.463715401928421755e+01,5.165575154983152117e+01,8.000000000000000000e+01
8.700000000000000000e+01,5.268228110606973758e+01,6.044939858544855582e+01,8.000000000000000000e+01
8.750000000000000000e+01,6.065333241641549478e+01,6.890317711220306762e+01,8.000000000000000000e+01
8.800000000000000000e+01,6.853909997294313428e+01,7.696955691193899440e+01,8.000000000000000000e+01
8.850000000000000000e+01,7.632849571450017834e+01,8.460318586307057842e+01,8.000000000000000000e+01
8.900000000000000000e+01,8.401056708691741903e+01,9.176114492670636480e+01,8.000000000000000000e+01
8.950000000000000000e+01,9.157451244323458184e+01,9.840318945310005461e+01,8.000000000000000000e+01
9.000000000000000000e+01,9.900969623173587308e+01,1.044919754517107293e+02,8.000000000000000000e+01
9.050000000000000000e+01,1.063056639504414562e+02,1.099932695527022304e+02,8.000000000000000000e+01
9.100000000000000000e+01,1.134521568470293289e+02,1.148761414794025626e+02,8.000000000000000000e+01
9.150000000000000000e+01,1.204391263435138342e+02,1.191131379495700173e+02,8.000000000000000000e+01
9.200000000000000000e+01,1.272567481654038772e+02,1.226804370277335465e+02,8.000000000000000000e+01
9.250000000000000000e+01,1.338954361554693548e+02,1.255579820607794659e+02,8.000000000000000000e+01
9.300000000000000000e+01,1.403458557526946890e+02,1.277295944437512389e+02,8.000000000000000000e+01
9.350000000000000000e+01,1.465989371174681537e+02,1.291830645818523351e+02,8.000000000000000000e+01
9.400000000000000000e+01,1.526458878845480172e+02,1.299102205372292929e+02,8.000000000000000000e+01
9.450000000000000000e+01,1.584782055258782805e+02,1.299069739745795005e+02,8.000000000000000000e+01
9.500000000000000000e+01,1.640876893058672295e+02,1.291733431472591462e+02,8.000000000000000000e+01
9.550000000000000000e+01,1.694664518123201447e+02,1.277134527946564049e+02,8.000000000000000000e+01
9.600000000000000000e+01,1.746069300468135737e+02,1.255355109514061382e+02,8.000000000000000000e+01
9.650000000000000000e+01,1.795018960589154347e+02,1.226517627988330332e+02,8.000000000000000000e+01
9.700000000000000000e+01,1.841444671092987164e+02,1.190784218180881879e+02,8.000000000000000000e+01
9.750000000000000000e+01,1.885281153474602718e+02,1.148355786320593950e+02,8.000000000000000000e+01
9.800000000000000000e+01,1.926466769904341163e+02,1.099470880485814490e+02,8.000000000000000000e+01
9.850000000000000000e+01,1.964943609895960890e+02,1.044404349400281262e+02,8.000000000000000000e+01
9.900000000000000000e+01,2.000657571733716225e+02,9.834657971336146431e+01,8.000000000000000000e+01
9.950000000000000000e+01,2.033558438543973637e+02,9.169978423946187718e+01,8.000000000000000000e+01
1.000000000000000000e+02,2.063599948904425503e+02,8.453741922042519263e+01,8.000000000000000000e+01
1.005000000000000000e+02,2.090739861891581484e+02,7.689975407788230655e+01,8.000000000000000000e+01
1.010000000000000000e+02,2.114940016475114817e+02,6.882973054366054555e+01,8.000000000000000000e+01
1.015000000000000000e+02,2.136166385175517917e+02,6.037272122574663058e+01,8.000000000000000000e+01
1.020000000000000000e+02,2.154389121909639755e+02,5.157627450697977878e+01,8.000000000000000000e+01
1.025000000000000000e+02,2.169582603956821458e+02,4.248984721074503312e+01,8.000000000000000000e+01
1.030000000000000000e+02,2.181725467986624949e+02,3.316452653672266848e+01,8.000000000000000000e+01
1.035000000000000000e+02,2.190800640097497762e+02,2.365274283006581157e+01,8.000000000000000000e+01
1.040000000000000000e+02,2.196795359824130855e+02,1.400797479892772834e+01,8.000000000000000000e+01
1.045000000000000000e+02,2.199701198079761753e+02,4.284448837711074987e+00,8.000000000000000000e+01
1.050000000000000000e+02,2.199514069008188244e+02,-5.463165853449303278e+00,8.000000000000000000e+01
1.055000000000000000e+02,2.196234235728830697e+02,-1.518006463881500423e+01,8.000000000000000000e+01
1.060000000000000000e+02,2.189866309966764106e+02,-2.481161557864439260e+01,8.000000000000000000e+01
1.065000000000000000e+02,2.180419245568238011e+02,-3.430366658983089678e+01,8.000000000000000000e+01
1.070000000000000000e+02,2.167906325910807936e+02,-4.360284990861297416e+01,8.000000000000000000e+01
1.075000000000000000e+02,2.152345145225773706e+02,-5.265688214355637342e+01,8.000000000000000000e+01
1.080000000000000000e+02,2.133757583859189992e+02,-6.141485823180060066e+01,8.000000000000000000e+01
1.085000000000000000e+02,2.112169777506236130e+02,-6.982753764583965506e+01,8.000000000000000000e+01
1.090000000000000000e+02,2.087612080462202186e+02,-7.784762124168044295e+01,8.000000000000000000e+01
1.095000000000000000e+02,2.060119022941760534e+02,-8.543001719183691023e+01,8.000000000000000000e+01
1.100000000000000000e+02,2.029729262526548439e+02,-9.253209450798600244e+01,8.000000000000000000e+01
1.105000000000000000e+02,1.996485529809305035e+02,-9.911392272789437641e+01,8.000000000000000000e+01
1.110000000000000000e+02,1.960434568311022190e+02,-1.051384964190013278e+02,8.000000000000000000e+01
1.115000000000000000e+02,1.921627068755569780e+02,-1.105719432364226122e+02,8.000000000000000000e+01
1.120000000000000000e+02,1.880117597794217090e+02,-1.153837143655955941e+02,8.000000000000000000e+01
1.125000000000000000e+02,1.835964521280277495e+02,-1.195467562788267486e+02,8.000000000000000000e+01
1.130000000000000000e+02,1.789229922201735690e+02,-1.230376628400671706e+02,8.000000000000000000e+01
1.135000000000000000e+02,1.739979513387281713e+02,-1.258368069027229410e+02,8.000000000000000000e+01
1.140000000000000000e+02,1.688282545108474437e+02,-1.279284506606135494e+02,8.000000000000000000e+01
1.145000000000000000e+02,1.634211707707954702e+02,-1.293008341316432563e+02,8.000000000000000000e+01
1.150000000000000000e+02,1.577843029390640197e+02,-1.299462412766982311e+02,8.000000000000000000e+01
1.155000000000000000e+02,1.519255769321575826e+02,-1.298610433820256560e+02,8.000000000000000000e+01
1.160000000000000000e+02,1.458532306180803459e+02,-1.290457194611823013e+02,8.000000000000000000e+01
1.165000000000000000e+02,1.395758022331914958e+02,-1.275048535618461045e+02,8.000000000000000000e+01
1.170000000000000000e+02,1.331021183767171863e+02,-1.252471089926323771e+02,8.000000000000000000e+01
1.175000000000000000e+02,1.264412815998009592e+02,-1.222851796148218284e+02,8.000000000000000000e+01
1.180000000000000000e+02,1.196026576065394380e+02,-1.186357184728539949e+02,8.000000000000000000e+01
1.185000000000000000e+02,1.125958620850054643e+02,-1.143192441648538562e+02,8.000000000000000000e+01
1.190000000000000000e+02,1.054307471867710007e+02,-1.093600254796090212e+02,8.000000000000000000e+01
1.195000000000000000e+02,9.811738767394213312e+01,-1.037859449486102932e+02,8.000000000000000000e+01
1.200000000000000000e+02,9.066606675318645614e+01,-9.762834208031790695e+01,8.000000000000000000e+01
1.205000000000000000e+02,8.308726161666612597e+01,-9.092183715804267763e+01,8.000000000000000000e+01
